transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000551,card_00653,2026-01-17T02:48:00Z,electronics,True,False,dev_004425,SG,59861
txn_0000552,card_00750,2026-01-18T06:40:38Z,utilities,True,False,dev_002154,GB,13985
txn_0000553,card_00239,2026-01-06T06:23:53Z,fuel,True,False,dev_004337,IN,9784
txn_0000554,card_00086,2026-01-07T10:19:06Z,pharmacy,True,False,dev_000217,US,32417
txn_0000555,card_00864,2026-01-03T16:42:39Z,atm_withdrawal,False,False,dev_001091,SG,4069
txn_0000556,card_00621,2026-01-25T08:34:06Z,fuel,True,False,dev_004297,SG,18333
txn_0000557,card_00058,2026-01-25T13:15:17Z,travel,True,False,dev_000206,US,9501
txn_0000558,card_00804,2026-01-12T09:18:20Z,fuel,False,False,dev_002488,GB,8397
txn_0000559,card_00142,2026-01-02T02:52:18Z,travel,False,False,dev_002395,AE,3561
txn_0000560,card_00434,2026-01-27T18:31:56Z,pharmacy,False,False,dev_004347,DE,882
txn_0000561,card_00548,2026-01-29T14:59:45Z,entertainment,False,False,dev_004118,IN,2702
txn_0000562,card_00106,2026-01-28T07:38:29Z,fuel,False,False,dev_001235,DE,8428
txn_0000563,card_00092,2026-01-26T23:29:38Z,atm_withdrawal,True,True,dev_003370,US,50154
txn_0000564,card_00475,2026-01-18T04:55:33Z,electronics,False,False,dev_002117,AE,7379
txn_0000565,card_00254,2026-01-23T22:09:16Z,utilities,False,False,dev_001558,GB,1277
txn_0000566,card_00141,2026-01-15T08:34:25Z,restaurant,False,False,dev_002479,DE,10776
txn_0000567,card_00303,2026-01-01T21:12:10Z,grocery,True,False,dev_003886,US,4091
txn_0000568,card_00510,2026-01-12T15:38:04Z,electronics,True,False,dev_004111,IN,3822
txn_0000569,card_00734,2026-01-10T05:10:27Z,electronics,True,False,dev_004388,DE,3932
txn_0000570,card_00788,2026-01-04T20:44:47Z,travel,True,False,dev_004986,GB,8741
txn_0000571,card_00050,2026-01-09T15:30:12Z,electronics,True,False,dev_002490,SG,6816
txn_0000572,card_00509,2026-01-06T13:12:44Z,utilities,False,False,dev_004941,US,89544
txn_0000573,card_00190,2026-01-28T21:24:46Z,grocery,True,False,dev_003908,AE,30244
txn_0000574,card_00605,2026-01-09T09:16:50Z,grocery,True,False,dev_002873,DE,39127
txn_0000575,card_00144,2026-01-28T13:25:29Z,entertainment,False,False,dev_003980,SG,3199
txn_0000576,card_00370,2026-01-24T04:22:22Z,utilities,True,False,dev_001100,US,3694
txn_0000577,card_00757,2026-01-22T16:01:25Z,grocery,False,False,dev_002393,SG,7455
txn_0000578,card_00687,2026-01-25T16:07:56Z,entertainment,True,False,dev_004296,SG,2620
txn_0000579,card_00634,2026-01-11T08:09:23Z,atm_withdrawal,False,True,dev_002662,SG,41655
txn_0000580,card_00508,2026-01-28T14:06:12Z,atm_withdrawal,True,False,dev_001076,GB,6264
txn_0000581,card_00571,2026-01-13T11:26:53Z,travel,False,False,dev_000991,GB,8926
txn_0000582,card_00744,2026-01-08T01:55:16Z,utilities,False,False,dev_004317,SG,12327
txn_0000583,card_00533,2026-01-01T17:09:32Z,grocery,True,False,dev_003368,DE,13295
txn_0000584,card_00194,2026-01-14T07:06:03Z,online_retail,False,False,dev_001931,SG,2538
txn_0000585,card_00550,2026-01-08T20:25:02Z,grocery,True,False,dev_004350,GB,3024
txn_0000586,card_00721,2026-01-27T01:20:36Z,grocery,True,False,dev_001913,GB,28639
txn_0000587,card_00239,2026-01-19T20:01:12Z,pharmacy,True,False,dev_000061,DE,19297
txn_0000588,card_00078,2026-01-18T10:41:41Z,entertainment,False,False,dev_001818,GB,14974
txn_0000589,card_00005,2026-01-16T21:03:50Z,entertainment,False,False,dev_003253,US,4357
txn_0000590,card_00737,2026-01-24T05:53:35Z,utilities,False,False,dev_003331,AE,5546
txn_0000591,card_00818,2026-01-14T04:59:41Z,restaurant,True,False,dev_004146,IN,15800
txn_0000592,card_00739,2026-01-20T03:55:28Z,fuel,True,False,dev_003891,DE,11946
txn_0000593,card_00344,2026-01-21T22:53:39Z,atm_withdrawal,True,False,dev_003772,GB,9734
txn_0000594,card_00398,2026-01-22T21:03:14Z,online_retail,False,False,dev_003424,DE,7840
txn_0000595,card_00746,2026-01-09T00:11:25Z,travel,False,False,dev_003647,AE,11330
txn_0000596,card_00743,2026-01-04T00:22:16Z,atm_withdrawal,False,False,dev_001387,US,910
txn_0000597,card_00500,2026-01-26T09:09:03Z,pharmacy,False,False,dev_004352,DE,6393
txn_0000598,card_00275,2026-01-12T22:45:17Z,pharmacy,False,False,dev_002099,AE,5708
txn_0000599,card_00467,2026-01-24T06:56:45Z,atm_withdrawal,False,False,dev_002026,DE,2545
txn_0000600,card_00077,2026-01-05T13:28:03Z,travel,False,False,dev_001358,IN,15142
txn_0000601,card_00525,2026-01-07T06:27:59Z,entertainment,True,False,dev_003609,AE,1510
txn_0000602,card_00043,2026-01-16T21:17:09Z,pharmacy,False,True,dev_003790,AE,13091
txn_0000603,card_00336,2026-01-25T11:49:39Z,pharmacy,True,False,dev_004096,GB,35291
txn_0000604,card_00045,2026-01-11T05:00:12Z,grocery,True,False,dev_002048,US,11931
txn_0000605,card_00593,2026-01-06T12:54:57Z,electronics,True,False,dev_002008,IN,7280
txn_0000606,card_00374,2026-01-15T19:40:39Z,electronics,True,False,dev_002862,IN,9364
txn_0000607,card_00508,2026-01-18T17:35:48Z,restaurant,True,False,dev_002274,IN,11311
txn_0000608,card_00370,2026-01-06T21:47:41Z,grocery,False,False,dev_004871,US,6940
txn_0000609,card_00136,2026-01-14T00:08:45Z,atm_withdrawal,False,True,dev_002105,AE,56723
txn_0000610,card_00731,2026-01-13T00:12:13Z,atm_withdrawal,True,False,dev_002088,IN,10621
txn_0000611,card_00721,2026-01-18T19:37:43Z,grocery,True,False,dev_002686,AE,2372
txn_0000612,card_00346,2026-01-02T21:33:28Z,fuel,False,False,dev_002308,AE,21043
txn_0000613,card_00787,2026-01-10T18:12:09Z,pharmacy,True,False,dev_004854,IN,19316
txn_0000614,card_00807,2026-01-02T16:17:59Z,travel,False,False,dev_003683,IN,1905
txn_0000615,card_00703,2026-01-11T20:35:24Z,fuel,False,False,dev_003628,IN,39540
txn_0000616,card_00846,2026-01-08T06:33:01Z,electronics,False,False,dev_000045,AE,10264
txn_0000617,card_00533,2026-01-22T01:02:21Z,pharmacy,True,True,dev_003815,DE,50800
txn_0000618,card_00810,2026-01-16T02:14:07Z,restaurant,True,False,dev_002000,IN,5752
txn_0000619,card_00656,2026-01-23T03:45:29Z,grocery,False,False,dev_002033,DE,4263
txn_0000620,card_00225,2026-01-20T08:24:56Z,utilities,False,False,dev_004699,SG,20445
txn_0000621,card_00517,2026-01-28T03:30:22Z,fuel,False,False,dev_000078,AE,14813
txn_0000622,card_00353,2026-01-05T07:50:29Z,fuel,True,False,dev_004267,US,4721
txn_0000623,card_00255,2026-01-28T20:09:53Z,restaurant,True,False,dev_004261,SG,5806
txn_0000624,card_00259,2026-01-14T17:23:43Z,fuel,True,False,dev_004719,US,8682
